Flight,Departure Time,Arrival Time,Origin Code,Airline,Origin Full
SK 1416,08:00,09:10,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen
FR 7619,05:50,09:40,PMI,Ryanair,Palma de Mallorca
VY 1265,06:05,09:50,BCN,Vueling,Barcelona
FR 3076,06:10,09:55,BCN,Ryanair,Barcelona
LX 1234,07:05,09:55,GVA,Swiss,Geneva
LO 453,08:05,09:55,WAW,LOT Polish Airlines,Warsaw
D8* 4282,10:05,10:05,HEL,Norwegian Air Sweden,Helsinki
SK 1418,09:00,10:10,CPH,SAS,Copenhagen
PC 1279,08:30,10:15,SAW,Pegasus,Istanbul
D8* 4032,08:55,10:15,LLA,Norwegian Air Sweden,Lulea
D8* 4006,09:15,10:20,UME,Norwegian Air Sweden,Umea
BA 776,06:55,10:25,LHR,British Airways,London
KL 1217,08:35,10:35,AMS,KLM,Amsterdam
SK 73,09:35,10:35,OSD,SAS / Operated by SAS Connect on behalf of SAS,Ostersund
TK 1793,08:55,10:40,ISL,Turkish Airlines,Istanbul
SK 142,09:30,10:40,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg
SK 5,09:40,11:00,LLA,SAS / Operated by CityJet on behalf of SAS,Lulea
D8* 5350,07:00,11:05,ALC,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Alicante
SK 864,10:05,11:05,OSL,SAS,Oslo
SK 78,10:20,11:10,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby
SK 709,11:00,11:20,HEL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Helsinki
FR 7604,09:05,11:30,BUD,Ryanair / Operated by Malta Air on behalf of Ryanair,Budapest
SK 15,10:10,11:30,LLA,SAS,Lulea
LH 2414,09:20,11:35,MUC,Lufthansa,Munich
SK 404,10:25,11:35,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen
FR 1609,09:00,11:40,TSF,Ryanair / Operated by Malta Air on behalf of Ryanair,Venice
FI 306,07:35,11:45,KEF,Icelandair,Reykjavik
AF 1262,09:15,11:50,CDG,Air France,Paris
D8* 8636,08:15,12:00,BCN,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Barcelona
LX 1248,09:50,12:20,ZRH,Swiss,Zurich
SK 106,10:50,12:20,MMX,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Malmo
AY 807,12:30,12:30,HEL,Finnair,Helsinki
SK 80,11:40,12:30,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby
EW 4645,09:45,12:35,TRN,Eurowings / Operated by Eurowings Europe on behalf of Eurowings,Turin
EK 157,08:20,12:40,DXB,Emirates,Dubai
KL 1219,10:40,12:45,AMS,KLM,Amsterdam
LX 1246,10:25,12:50,ZRH,Swiss,Zurich
SK 1041,11:10,12:50,KRN,SAS / Operated by SAS Connect on behalf of SAS,Kiruna
SK 162,11:50,12:50,GOT,SAS / Operated by SAS Connect on behalf of SAS,Gothenburg
SK 606,10:30,13:00,ZRH,SAS / Operated by SAS Connect on behalf of SAS,Zurich
SK 1420,11:50,13:00,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen
FR 4690,10:40,13:10,SKG,Ryanair / Operated by Malta Air on behalf of Ryanair,Thessaloniki
SK 1828,10:10,13:15,NCE,SAS,Nice
TP 780,08:05,13:30,LIS,TAP Air Portugal,Lisbon
TK 1789,11:45,13:30,ISL,Turkish Airlines,Istanbul
AY 809,13:30,13:30,HEL,Finnair,Helsinki
D8* 4322,10:40,13:35,NCE,Norwegian Air Sweden,Nice
LH 802,11:30,13:40,FRA,Lufthansa,Frankfurt
SK 558,11:40,13:40,AMS,SAS / Operated by CityJet on behalf of SAS,Amsterdam
IB 823,10:05,14:00,MAD,Iberia,Madrid
PC 1281,12:25,14:10,SAW,Pegasus,Istanbul
PC 5019,12:05,14:15,AYT,Pegasus,Antalya
LH 2416,12:00,14:15,MUC,Lufthansa,Munich
SK 1806,10:30,14:20,PMI,SAS / Operated by SAS Connect on behalf of SAS,Palma de Mallorca
SK 406,13:10,14:20,CPH,SAS,Copenhagen
SK 2112,13:15,14:20,MMX,SAS / Operated by SAS Connect on behalf of SAS,Malmo
SK 1773,14:30,14:30,TLL,SAS,Tallinn
FR 317,09:40,14:40,OPO,Ryanair / Operated by Malta Air on behalf of Ryanair,Porto
SK 7906,12:20,14:45,INN,SAS,Innsbruck
SK 166,13:35,14:45,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg
W6 4151,12:10,14:55,BEG,Wizz Air,Belgrade
OS 313,12:40,14:55,VIE,Austrian,Vienna
FR 4641,14:45,15:00,RIX,Ryanair / Operated by Malta Air on behalf of Ryanair,Riga
LX 1250,12:40,15:05,ZRH,Swiss,Zurich
SK 414,14:00,15:10,CPH,SAS / Operated by SAS Link on behalf of SAS,Copenhagen
SK 9,13:55,15:15,LLA,SAS / Operated by CityJet on behalf of SAS,Lulea
SK 2727,15:25,15:20,TKU,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Turku
SK 82,14:30,15:20,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby
LX 1232,12:40,15:30,GVA,Swiss,Geneva
SK 7944,13:05,15:30,INN,SAS,Innsbruck
LH 806,13:20,15:30,FRA,Lufthansa,Frankfurt
SK 690,12:55,15:40,LIN,SAS / Operated by SAS Connect on behalf of SAS,Milan
SK 2616,13:00,15:40,GVA,SAS,Geneva
SK 1584,11:25,15:45,AGP,SAS,Malaga
SK 484,15:00,16:00,OSL,SAS / Operated by SAS Connect on behalf of SAS,Oslo
SK 1854,12:10,16:15,ALC,SAS / Operated by SAS Connect on behalf of SAS,Alicante
D8* 4456,13:00,16:25,LGW,Norwegian Air Sweden,London
CA 911,14:15,16:30,PEK,Air China,Beijing
SK 9042,16:30,16:30,HEL,SAS,Helsinki
KL 1223,14:35,16:35,AMS,KLM,Amsterdam
6B 356,09:55,16:55,HKT,TUIfly Nordic,Phuket
BA 780,13:20,16:55,LHR,British Airways,London
DY 899,11:45,17:05,FAO,Norwegian / Operated by Norwegian Air Sweden on behalf of Norwegian,Faro
D8* 4222,12:45,17:05,AGP,Norwegian Air Sweden,Malaga
TK 1795,15:15,17:05,ISL,Turkish Airlines,Istanbul
AF 1062,14:30,17:10,CDG,Air France,Paris
AY 815,17:05,17:10,HEL,Finnair,Helsinki
FR 4772,15:15,17:20,CGN,Ryanair / Operated by Malta Air on behalf of Ryanair,Cologne
SK 486,16:05,17:20,OSL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Oslo
SK 1424,16:10,17:20,CPH,SAS / Operated by CityJet on behalf of SAS,Copenhagen
SK 2944,12:00,17:25,FAO,SAS,Faro
SK 532,13:55,17:30,LHR,SAS / Operated by SAS Connect on behalf of SAS,London
LH 2418,15:35,17:50,MUC,Lufthansa,Munich
LH 804,16:05,18:15,FRA,Lufthansa,Frankfurt
FR 4627,16:15,18:15,KRK,Ryanair / Operated by Malta Air on behalf of Ryanair,Krakow
SK 711,18:00,18:20,HEL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Helsinki
SK 2278,17:25,18:30,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen
SK 13,17:15,18:35,LLA,SAS,Lulea
FR 755,16:25,18:45,VIE,Ryanair / Operated by Lauda Europe on behalf of Ryanair,Vienna
SK 1410,17:35,18:45,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen
OS 1421,17:55,19:15,BLL,Austrian,Billund
SK 164,18:05,19:15,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg
EW 5065,16:50,19:20,INN,Eurowings / Operated by Eurowings Europe on behalf of Eurowings,Innsbruck
LO 457,17:30,19:20,WAW,LOT Polish Airlines,Warsaw
SK 7938,17:10,19:25,SZG,SAS,Salzburg
FR 4623,19:20,19:30,TLL,Ryanair / Operated by Malta Air on behalf of Ryanair,Tallinn
SK 1412,18:30,19:40,CPH,SAS,Copenhagen
SK 2680,18:15,19:55,BER,SAS / Operated by CityJet on behalf of SAS,Berlin
ET 715,18:45,20:05,OSL,Ethiopian Airlines,Oslo
FR 4048,19:40,20:10,VNO,Ryanair / Operated by Buzz on behalf of Ryanair,Vilnius
SK 6072,17:30,20:15,LIN,SAS,Milan
SK 2099,13:30,20:20,TFS,SAS / Operated by SAS Connect on behalf of SAS,Tenerife
AY 819,20:10,20:25,HEL,Finnair,Helsinki
BA 786,17:00,20:35,LHR,British Airways,London
SK 2506,15:25,20:40,AGA,SAS / Operated by SAS Connect on behalf of SAS,Agadir
SK 1820,14:00,20:50,LPA,SAS / Operated by SAS Connect on behalf of SAS,Las Palmas
FR 4606,20:35,20:55,KUN,Ryanair / Operated by Buzz on behalf of Ryanair,Kaunas
SK 2027,19:55,20:55,UME,SAS / Operated by CityJet on behalf of SAS,Umea
D8* 4242,14:05,21:00,LPA,Norwegian Air Sweden,Las Palmas
SK 528,17:30,21:00,LHR,SAS / Operated by SAS Connect on behalf of SAS,London
SK 1491,19:00,21:00,TOS,SAS,Tromso
FR 3655,18:40,21:25,BGY,Ryanair / Operated by Malta Air on behalf of Ryanair,Milan
SK 1430,20:15,21:25,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen
SK 1606,19:25,21:55,ZRH,SAS,Zurich
6B 252,20:50,22:05,CPH,TUIfly Nordic,Copenhagen
D8* 4528,17:10,22:10,RAK,Norwegian Air Sweden,Marrakech
SK 612,19:35,22:15,GVA,SAS,Geneva
D8* 5700,15:25,22:20,LPA,Norwegian Air Sweden,Las Palmas
LX 1238,19:45,22:35,GVA,Swiss,Geneva
SK 2618,20:10,22:50,GVA,SAS / Operated by SAS Connect on behalf of SAS,Geneva
KL 1227,20:55,22:55,AMS,KLM,Amsterdam
SK 2690,20:15,23:00,MXP,SAS,Milan
SK 2660,20:50,23:05,MUC,SAS / Operated by SAS Connect on behalf of SAS,Munich
FR 6099,21:40,23:10,GDN,Ryanair / Operated by Malta Air on behalf of Ryanair,Gdansk
D8* 4474,21:15,23:20,SZG,Norwegian Air Sweden,Salzburg
LX 1254,20:55,23:25,ZRH,Swiss,Zurich
LH 2420,21:10,23:25,MUC,Lufthansa,Munich
FR 4687,19:10,23:30,AGP,Ryanair / Operated by Malta Air on behalf of Ryanair,Malaga
SK 2950,19:15,23:30,SVQ,SAS / Operated by SAS Connect on behalf of SAS,Sevilla
AF 1462,21:00,23:40,CDG,Air France,Paris
LH 808,21:30,23:40,FRA,Lufthansa,Frankfurt
D8* 9611,21:00,23:45,TRN,Norwegian Air Sweden,Turin
AY 825,23:50,23:50,HEL,Finnair,Helsinki
IB 825,20:00,23:55,MAD,Iberia,Madrid
D8* 4330,21:10,23:55,LYS,Norwegian Air Sweden,Lyon
FR 4719,20:35,23:55,STN,Ryanair / Operated by Malta Air on behalf of Ryanair,London
D8* 8878,22:55,00:10,CPH,Norwegian Air Sweden,Copenhagen
