Flight,Departure Time,Arrival Time,Origin Code,Airline,Origin Full
5O 4408,03:28,06:06,CDG,ASL Airlines France,Paris
QR 169,01:35,06:30,DOH,Qatar Airways,Doha
TG 960,00:05,06:45,BKK,Thai Airways International,Bangkok
APF 281,07:15,06:50,MHQ,PopulAir,Mariehamn
SK 1783,07:00,07:00,TLL,SAS,Tallinn
AY 801,07:00,07:10,HEL,Finnair,Helsinki
SK 27,06:05,07:15,UME,SAS / Operated by SAS Connect on behalf of SAS,Umea
SK 904,17:30,07:20,EWR,SAS,Newark
BT 101,07:10,07:20,RIX,Air Baltic,Riga
SK 1126,06:10,07:20,RNB,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Ronneby
SK 1011,06:10,07:25,SFT,SAS / Operated by SAS Connect on behalf of SAS,Skelleftea
SK 130,06:10,07:25,MMX,SAS / Operated by SAS Connect on behalf of SAS,Malmo
SK 75,06:20,07:25,OSD,SAS / Operated by SAS Connect on behalf of SAS,Ostersund
SK 140,06:25,07:25,GOT,SAS / Operated by SAS Connect on behalf of SAS,Gothenburg
W6 1731,06:00,07:30,GDN,Wizz Air,Gdansk
SK 1741,07:00,07:30,VNO,SAS / Operated by CityJet on behalf of SAS,Vilnius
SK 1,06:00,07:35,LLA,SAS,Lulea
FR 4617,06:05,07:35,GDN,Ryanair / Operated by Buzz on behalf of Ryanair,Gdansk
SK 2178,06:10,07:35,AGH,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Angelholm/Helsingborg
APF 301,06:25,07:35,OER,PopulAir,Ornskoldsvik
SK 2198,06:30,07:35,KLR,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Kalmar
SK 86,06:40,07:35,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby
D8* 2602,07:40,07:50,HEL,Norwegian Air Sweden,Helsinki
D8* 4002,06:45,07:50,UME,Norwegian Air Sweden,Umea
D8* 4030,06:45,08:10,LLA,Norwegian Air Sweden,Lulea
SK 150,07:00,08:10,GOT,SAS / Operated by SAS Connect on behalf of SAS,Gothenburg
D8* 2030,08:00,08:10,RIX,Norwegian Air Sweden,Riga
AY 803,08:05,08:10,HEL,Finnair,Helsinki
APF 421,06:45,08:15,LYC,PopulAir,Lycksele
SK 402,07:00,08:20,CPH,SAS,Copenhagen
SK 3,06:55,08:25,LLA,SAS,Lulea
D8* 3194,07:10,08:25,CPH,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Copenhagen
APF 661,07:25,08:30,KRF,PopulAir,Kramfors
APF 551,06:55,08:40,AJR,PopulAir,Arvidsjaur
DY 804,07:30,08:40,OSL,Norwegian / Operated by Norwegian Air Sweden on behalf of Norwegian,Oslo
